Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Business,Construction Manager,3.2,8,2,1,0,6,1,0,9,4,0,2,3,2,1
Business,Manager,3.66,5,1,1,1,1,0,2,8,0,1,0,3,4,1
Biology,Biotechnologist,2.51,2,0,2,0,1,1,1,4,1,3,3,0,0,1
Finance,Accountant,3.53,9,1,2,1,2,1,0,1,0,1,9,4,3,0
Marketing,Social Media Manager,2.18,3,1,2,1,6,0,4,10,0,0,4,2,4,1
Business,Construction Manager,3.99,3,1,2,1,5,1,3,9,0,0,4,4,3,0
Architecture,Interior Designer,2.32,7,2,0,1,1,1,3,1,2,1,0,2,0,1
Art,Art Director,2.66,1,0,3,0,5,1,4,2,3,2,0,1,4,1
Architecture,Architect,2.98,4,1,3,1,2,0,0,1,1,3,2,2,2,1
Business,Entrepreneur,2.92,3,0,4,0,1,1,0,10,4,2,1,3,3,0
Biology,Biochemist,3.74,1,0,4,0,4,0,4,1,3,4,1,2,3,0
Finance,Financial Advisor,2.83,2,2,4,1,5,0,1,3,3,2,9,1,3,0
Marketing,Social Media Manager,3.08,4,1,3,0,9,1,1,9,3,1,2,2,4,0
Education,Teacher,2.95,7,2,2,1,9,1,0,3,2,3,1,4,2,1
Engineering,Acoustics Specialist,2.32,4,1,3,0,9,0,0,4,10,0,7,2,4,0
Music,Conductor,2.86,7,1,0,0,6,1,4,4,4,0,2,1,4,0
Art,Art Director,2.24,2,2,4,0,2,0,1,1,2,1,2,0,4,0
Medicine,Doctor,3.7055185066591156,0,1,3,0,7,1,0,0,3,3,4,1,4,1
Business,Human Resources Specialist,2.49,6,0,1,1,7,1,4,7,1,4,1,4,0,0
Architecture,Architect,3.29,7,1,3,1,9,0,2,0,0,1,0,2,2,0
Psychology,Psychologist,3.97,0,1,2,0,9,0,4,4,1,4,1,1,1,0
Chemistry,Analytical Chemist,3.84,2,0,2,1,6,0,1,0,1,4,1,2,1,0
Finance,Financial Advisor,2.16,5,0,3,1,8,1,2,3,1,3,8,3,2,1
Marketing,Advertising Manager,2.51,9,1,2,1,5,0,3,10,3,2,0,4,4,0
Psychology,Music Therapist,3.98,1,0,3,0,5,1,3,1,1,0,0,2,0,1
Medicine,Pharmacist,3.5404266631663575,9,0,3,1,7,1,0,0,1,1,1,1,2,0
Medicine,Nurse,3.6210799691387128,9,0,0,1,6,1,1,3,0,3,1,0,0,1
Medicine,Physician Assistant,3.683891566359627,7,1,0,1,3,0,0,1,3,4,1,0,3,1
Finance,Actuary,2.66,5,0,0,1,3,0,2,0,4,1,8,2,3,1
Education,Education Administrator,3.55,5,1,2,0,9,1,3,1,0,3,3,3,0,1
Finance,Credit Analyst,3.59,5,0,2,0,5,1,4,1,0,0,10,4,3,1
Chemistry,Chemist,2.48,9,0,1,1,4,1,2,0,1,1,3,0,4,0
Engineering,Civil Engineer,2.52,0,1,1,1,3,0,4,4,9,1,10,1,4,0
Psychology,Music Therapist,3.96,3,1,3,1,1,1,1,0,0,1,2,4,3,0
Law,Legal Analyst,2.35,8,2,4,1,4,0,0,9,3,3,2,0,3,0
Computer Science,Web Developer,2.85,5,1,1,1,4,0,10,4,3,3,4,4,3,1
Psychology,Clinical Psychologist,3.87,6,2,1,1,0,0,4,4,3,1,0,0,2,1
Chemistry,Analytical Chemist,3.83,0,2,4,0,1,1,4,2,4,0,1,0,4,1
Music,Music Teacher,3.88,7,2,1,0,5,1,4,2,2,3,0,0,0,1
Business,Human Resources Specialist,2.19,2,2,0,0,3,0,1,9,3,4,1,3,1,1
Law,Paralegal,2.29,9,1,1,1,8,1,3,10,0,4,1,2,2,1
Finance,Credit Analyst,2.27,2,0,0,0,0,1,1,2,4,0,10,1,0,0
Medicine,Surgeon,3.845468869051233,9,1,1,0,5,1,1,1,3,3,0,1,0,0
Art,Graphic Designer,3.46,7,1,3,0,5,1,4,4,4,4,4,4,3,1
Computer Science,Data Scientist,3.42,4,2,2,1,8,0,10,1,4,3,4,0,3,1
Marketing,Marketing Manager,3.14,0,2,3,1,7,1,4,7,2,2,3,1,3,0
Marketing,Social Media Manager,3.82,4,0,2,0,5,0,2,9,1,1,4,0,3,1
Music,Music Teacher,2.18,7,1,0,0,3,1,4,2,3,1,4,4,3,0
Chemistry,Inorganic Chemist,3.38,9,2,3,0,6,0,2,1,3,0,3,4,2,0
Engineering,Fluid Mechanics Engineer,3.46,5,0,2,0,1,1,1,0,10,2,8,3,2,1
Biology,Biologist,2.28,5,2,2,0,0,0,2,3,0,0,1,4,0,0
Education,Special Education Teacher,3.89,3,0,1,0,5,0,2,4,4,2,0,3,0,0
Finance,Actuary,3.39,8,1,2,0,0,0,2,2,2,3,7,3,2,1
Computer Science,Cybersecurity Analyst,2.06,1,0,3,1,1,0,7,0,3,0,2,2,2,0
Medicine,Physician Assistant,3.9486078789766634,3,1,4,1,5,1,4,2,0,2,3,2,4,1
Psychology,Art Therapist,2.14,3,2,0,1,4,0,0,0,0,1,0,3,2,0
Architecture,Interior Designer,3.93,6,0,3,1,2,1,2,1,3,3,0,1,2,0
Biology,Zoologist,2.32,0,0,2,0,9,1,0,0,4,3,3,4,0,0
Biology,Biologist,2.69,7,2,3,0,6,0,1,0,3,4,3,4,0,0
Architecture,Architect,3.37,8,0,0,0,6,0,0,2,1,4,4,3,0,1
Chemistry,Analytical Chemist,2.17,7,1,0,0,9,1,1,4,2,2,4,1,1,0
Psychology,School Psychologist,3.85,6,0,2,1,0,1,0,4,2,3,2,3,3,0
Medicine,Nurse,3.928162145939046,2,1,2,1,8,0,3,2,0,0,0,0,3,0
Law,Legal Secretary,2.77,5,1,3,0,2,1,2,10,2,4,2,4,0,0
Biology,Biologist,2.07,6,0,0,1,9,1,0,1,3,3,2,3,0,0
Biology,Biochemist,2.81,3,1,2,1,8,0,4,3,3,3,1,3,4,1
Art,Artist,3.58,5,1,3,1,3,1,2,3,2,0,0,3,2,0
Computer Science,Web Developer,2.6,8,0,1,0,7,0,8,4,0,4,3,0,0,0
Physics,Quantum Physicist,3.89,1,1,3,0,4,0,1,3,1,3,3,3,3,0
Medicine,Pharmacist,3.790343310718227,8,2,2,0,0,0,0,1,2,1,4,1,4,0
Music,Conductor,3.39,7,0,3,0,4,1,4,3,0,0,0,3,3,0
Biology,Biologist,2.06,4,2,3,0,5,0,2,3,3,3,4,2,3,0
Marketing,Advertising Manager,3.73,4,2,2,0,8,0,3,8,3,3,1,3,1,1
Chemistry,Organic Chemist,3.37,8,2,4,1,0,0,3,1,3,3,2,4,0,1
Chemistry,Organic Chemist,3.93,5,1,3,0,7,0,0,4,3,3,4,4,4,1
Physics,Astronomer,3.98,4,2,4,1,4,0,0,3,3,0,4,3,3,0
Engineering,Electrical Engineer,4.0,7,1,4,1,7,1,1,2,7,1,10,4,4,1
Biology,Biologist,3.46,1,2,1,0,9,0,0,0,0,3,0,0,4,1
Psychology,Clinical Psychologist,3.16,9,0,4,1,9,1,0,0,0,3,4,3,2,0
Chemistry,Chemist,3.05,4,1,3,1,1,1,3,0,1,3,1,3,4,0
Finance,Actuary,2.61,8,0,2,0,1,1,2,2,4,0,7,2,2,0
Medicine,Physician Assistant,3.662699849079634,5,0,3,1,6,1,4,3,4,0,1,1,3,0
Medicine,Pharmacist,3.68323439229143,0,0,4,1,7,0,3,0,2,1,2,0,2,0
Art,Artist,2.53,8,1,3,1,7,1,2,1,3,3,2,0,0,0
Physics,Quantum Physicist,3.91,1,2,4,0,9,0,0,2,1,0,3,3,2,1
Art,Art Director,2.93,4,1,5,1,9,0,1,1,1,4,3,0,4,0
Law,Judge,2.81,4,2,4,0,4,1,3,8,1,3,3,1,4,0
Psychology,Forensic Psychologist,3.25,5,1,4,0,8,1,3,1,2,4,4,0,1,1
Marketing,Marketing Specialist,2.21,0,2,4,0,5,0,0,8,0,0,3,1,1,1
Art,Animator,2.78,4,0,5,0,6,1,3,4,4,4,4,2,0,0
Psychology,Music Therapist,2.31,7,2,3,0,9,1,1,2,4,3,4,2,4,1
Physics,Quantum Physicist,3.79,5,2,4,0,4,1,0,2,3,3,1,3,1,0
Law,Judge,3.73,2,0,2,0,8,1,4,9,4,0,3,4,0,0
Finance,Financial Analyst,2.31,1,2,0,1,5,0,4,4,3,2,7,4,4,0
Architecture,Architect,3.34,4,1,2,1,1,1,1,3,2,3,2,4,3,1
Medicine,Pharmacist,3.83446202983155,3,0,1,1,8,1,0,1,1,2,3,0,2,1
Education,Teacher,3.0,8,0,1,0,6,1,2,0,3,2,4,0,4,0
Education,Curriculum Developer,3.76,8,0,3,1,3,1,0,4,1,4,0,0,4,1
Engineering,Chemical Engineer,2.87,3,1,1,0,3,0,4,1,10,2,7,4,3,1
Law,Judge,2.5,3,2,1,1,0,1,4,10,4,2,4,3,0,0
Computer Science,Data Scientist,3.36,7,1,3,0,7,1,10,3,1,1,2,3,0,0
Biology,Biologist,3.24,6,2,2,1,6,1,3,4,0,1,0,4,0,1
Psychology,Psychologist,3.53,9,2,4,0,7,0,4,2,4,3,3,3,3,1
Medicine,Pharmacist,3.970229292176457,5,2,2,0,8,1,3,4,0,0,4,3,1,0
Art,Animator,2.28,8,0,4,0,8,1,2,3,0,1,4,3,2,1
Music,Sound Engineer,3.46,10,2,1,1,5,0,0,2,4,2,4,1,2,1
Biology,Geneticist,3.4,3,0,0,1,9,0,0,3,0,3,3,2,0,1
Business,Construction Manager,3.09,4,2,3,0,8,0,2,7,4,2,2,1,1,1
Medicine,Dentist,3.964159281293863,8,0,3,0,0,1,4,2,4,4,1,1,2,0
Biology,Biologist,3.99,5,1,2,1,7,1,1,2,4,4,0,4,0,0
Law,Legal Secretary,3.57,8,2,2,0,2,1,3,7,2,0,1,3,1,0
Biology,Zoologist,3.55,5,2,0,1,5,1,3,2,0,2,3,0,4,0
Music,Composer,3.7,8,1,1,0,8,0,4,1,3,4,0,1,4,1
Finance,Accountant,3.21,3,0,0,1,7,1,2,1,3,0,10,0,2,0
Computer Science,Game Developer,3.7,8,2,2,1,1,0,7,2,2,2,1,1,2,0
Biology,Zoologist,3.29,5,2,2,0,4,1,4,1,3,4,2,4,3,0
Medicine,Surgeon,3.658461002578139,0,0,1,1,1,1,2,1,2,0,0,4,4,0
Chemistry,Organic Chemist,2.92,3,2,0,1,2,0,1,3,0,3,0,4,3,0
Music,Conductor,2.24,6,2,1,0,2,1,0,3,1,2,1,2,3,0
Business,Human Resources Specialist,3.07,6,1,4,0,0,0,1,8,4,3,4,1,2,0
Marketing,Social Media Manager,3.77,6,2,0,1,0,0,2,9,1,3,4,4,2,0
Architecture,Urban Planner,3.92,4,1,2,0,1,1,3,4,2,2,2,3,1,1
Finance,Risk Analyst,3.33,3,0,3,1,8,1,4,0,2,3,9,4,1,0
Medicine,Physician Assistant,3.679323390648082,1,0,4,1,0,0,2,1,2,4,4,3,2,1
Education,Education Administrator,3.73,6,2,1,1,1,1,3,1,0,0,3,1,3,0
Law,Legal Consultant,2.45,3,1,3,1,9,1,2,8,3,3,2,4,4,1
Education,Principal,2.25,3,0,4,1,6,1,0,4,3,4,1,3,2,0
Finance,Accountant,3.34,4,1,0,0,2,1,1,4,4,2,10,4,4,0
Biology,Biologist,2.46,9,0,2,1,8,0,2,0,0,3,0,4,0,0
Marketing,Marketing Manager,3.59,1,0,4,1,0,1,4,9,4,1,1,2,2,0
Education,Curriculum Developer,2.89,6,1,4,1,4,1,4,4,4,4,0,4,0,0
Psychology,Forensic Psychologist,3.14,2,1,4,0,2,1,0,2,2,4,3,1,4,1
Business,Entrepreneur,2.32,5,0,3,1,7,1,2,9,3,2,3,2,0,1
Art,Graphic Designer,3.33,1,0,3,0,3,0,0,2,1,0,2,1,0,1
Music,Sound Engineer,3.96,8,2,0,0,9,1,1,4,3,0,2,2,1,0
Art,Graphic Designer,3.61,3,1,5,1,8,0,0,1,1,4,2,1,3,0
Psychology,School Counselor,2.33,7,1,4,0,4,0,4,2,3,0,3,4,2,1
Medicine,Pharmacist,3.8991475894833876,8,1,2,1,6,0,2,3,4,1,3,2,1,0
Physics,Physicist,3.72,1,1,1,0,9,1,3,0,0,1,0,4,0,0
Art,Illustrator,3.66,4,2,5,0,9,1,1,1,4,3,1,1,1,0
Engineering,Biomedical Engineer,3.48,6,2,2,1,4,0,1,4,10,3,9,1,1,0
Psychology,Counselor,3.41,0,0,0,0,7,1,1,0,3,2,3,0,4,1
Finance,Financial Analyst,3.48,7,2,0,0,9,1,4,2,0,4,10,3,3,1
Law,Legal Secretary,2.04,0,2,3,0,4,0,3,9,1,2,2,1,2,0
Law,Lawyer,3.73,8,1,0,0,8,0,4,8,4,1,4,1,3,1
Chemistry,Physical Chemist,2.47,2,1,3,0,2,0,4,2,4,2,0,3,4,1
Medicine,Physician Assistant,3.7954166302845054,8,2,4,0,1,0,0,4,4,3,4,2,2,0
Computer Science,AI Researcher,2.49,4,1,2,0,3,1,7,0,0,3,3,2,4,0
Chemistry,Inorganic Chemist,2.51,1,2,2,1,7,1,1,1,3,3,0,2,4,0
Chemistry,Organic Chemist,2.38,8,2,1,1,0,0,4,2,4,1,4,0,0,1
Chemistry,Analytical Chemist,3.76,0,2,1,0,2,1,3,0,1,2,3,4,4,1
Art,Illustrator,2.36,9,2,3,1,0,0,1,0,3,3,3,0,2,0
Psychology,Psychologist,3.52,5,0,4,0,9,0,4,2,0,1,3,3,0,1
Physics,Quantum Physicist,3.96,6,1,1,1,3,0,2,4,2,0,2,3,3,0
Biology,Biotechnologist,2.54,6,2,4,1,1,1,0,4,3,4,1,4,2,0
Art,Illustrator,2.74,7,0,3,0,1,1,3,1,2,3,2,3,3,0
Business,Human Resources Specialist,2.25,2,0,0,1,6,0,2,10,3,1,4,4,4,0
Psychology,Music Therapist,3.36,8,0,4,0,3,0,0,2,1,2,3,0,1,0
Education,Curriculum Developer,2.43,5,1,1,1,6,1,0,1,1,4,4,2,4,1
Marketing,Market Research Analyst,2.52,1,1,3,0,9,1,3,8,1,0,0,4,0,0
Chemistry,Analytical Chemist,3.68,6,1,4,1,2,1,4,3,4,4,3,4,2,1
Art,Illustrator,2.48,6,2,3,0,1,0,2,0,1,3,0,4,2,1
Business,Entrepreneur,2.79,6,1,2,1,1,0,2,10,4,0,2,2,3,1
Marketing,Social Media Manager,2.68,4,0,0,1,7,1,3,8,0,4,3,0,0,1
Education,Education Administrator,3.71,9,2,1,1,7,1,4,4,3,0,2,3,0,1
Medicine,Surgeon,3.6994104507223975,6,1,0,0,4,1,2,3,1,0,2,2,4,1
Engineering,Electrical Engineer,3.31,6,0,2,0,0,1,2,0,8,4,10,1,2,1
Biology,Zoologist,2.47,4,0,3,0,6,0,1,1,2,3,4,1,3,1
Physics,Astronomer,3.69,0,0,3,0,0,1,4,3,4,0,2,3,2,1
Medicine,Dentist,3.592166837165685,1,0,3,0,7,0,4,3,0,1,4,0,4,0
Law,Legal Secretary,2.96,5,0,1,0,5,1,2,9,2,3,4,3,0,0
Biology,Zoologist,3.31,8,2,2,1,3,1,0,0,3,2,1,4,1,1
Engineering,Civil Engineer,2.54,4,0,0,0,1,1,3,0,7,3,10,3,1,1
Biology,Biologist,3.62,6,1,2,0,3,0,3,4,0,2,1,3,2,0
Computer Science,Cybersecurity Analyst,2.27,2,1,1,1,6,1,8,2,1,2,0,4,0,1
Engineering,Civil Engineer,2.77,4,1,2,1,2,1,4,2,8,1,9,1,0,1
Chemistry,Chemist,3.66,4,2,4,1,6,1,1,0,3,3,4,3,3,1
Music,Sound Engineer,2.1,9,1,0,1,8,1,0,2,2,3,0,0,0,1
Biology,Biologist,3.12,8,0,0,0,2,1,2,3,2,1,3,4,1,1
Chemistry,Physical Chemist,3.56,8,0,2,0,2,0,0,3,2,1,2,4,0,1
Finance,Credit Analyst,3.33,7,0,3,1,1,0,1,3,0,3,10,4,4,0
Computer Science,Game Developer,2.97,4,0,1,0,8,1,8,2,1,3,4,1,4,0
Medicine,Dentist,3.709800031213895,1,0,1,0,3,1,2,2,1,2,0,0,4,0
Finance,Actuary,2.3,1,1,3,1,9,0,4,4,1,1,8,0,0,1
Computer Science,Data Scientist,2.3,5,0,3,1,3,1,7,2,4,0,0,1,2,1
Chemistry,Chemist,2.9,4,2,4,0,7,1,1,2,3,3,3,1,4,0
Law,Legal Analyst,3.07,5,1,1,1,5,1,3,8,3,3,2,2,2,0
Psychology,Art Therapist,3.83,7,2,0,1,6,0,0,0,0,0,0,2,1,1
Architecture,Architect,2.78,5,2,3,1,2,0,4,4,3,4,1,2,3,0
Physics,Astronomer,2.84,4,0,0,0,4,1,1,0,0,3,4,1,3,0
Marketing,Marketing Specialist,2.56,4,2,1,1,0,1,0,8,0,0,0,0,4,0
Biology,Biochemist,2.72,2,0,1,1,6,1,1,0,3,4,0,4,4,1
Music,Sound Engineer,3.35,8,1,3,0,8,0,3,4,4,4,1,2,4,0
