field,career,gpa,extracurricular_activities,internships,projects,leadership_positions,field_specific_courses,research_experience,coding_skills,communication_skills,problem_solving_skills,teamwork_skills,analytical_skills,presentation_skills,networking_skills,industry_certifications
8,38,2.47,8,0,1,0,4,0,1,3,4,0,7,2,1,1
3,46,2.21,3,1,3,1,7,0,0,9,2,2,0,2,1,0
10,4,2.21,2,2,0,1,6,1,2,9,3,0,1,0,1,0
10,18,3.14,1,0,3,1,2,0,0,7,1,3,1,1,3,1
5,88,2.62,6,2,1,0,0,0,7,0,0,2,0,3,4,1
4,6,3.15,9,1,2,0,2,1,3,1,2,0,0,2,3,1
4,6,3.65,9,2,1,1,5,1,0,3,1,2,1,0,1,1
12,66,2.76,6,2,4,1,3,0,2,1,3,4,4,3,4,0
3,37,3.13,2,0,0,0,7,1,0,7,1,3,0,2,2,0
14,79,2.78,9,0,3,1,0,1,4,0,0,3,3,2,0,1
10,4,3.49,7,1,3,1,4,0,1,8,4,1,4,1,1,1
0,53,2.32,8,2,2,1,0,1,4,1,3,4,3,1,4,1
13,77,3.45,2,0,1,0,1,0,3,2,4,2,3,1,3,1
4,49,3.27,7,0,1,1,5,1,4,1,3,4,1,4,0,1
5,88,3.61,8,2,1,0,5,1,10,1,0,0,4,0,4,0
7,5,2.37,3,1,3,0,8,1,1,2,9,0,8,1,1,1
7,41,2.73,6,2,3,0,7,0,1,2,9,2,8,0,1,0
10,59,3.26,5,1,3,0,5,0,0,7,0,0,4,0,2,0
11,73,3.5550259622638385,3,0,1,1,4,0,1,4,3,1,3,2,4,1
7,21,3.26,8,1,3,0,2,0,4,0,8,4,9,4,3,1
10,60,2.31,4,1,2,0,8,0,2,10,2,0,1,2,3,1
12,83,2.52,5,1,3,1,1,1,3,1,0,0,0,1,1,0
0,50,3.56,8,0,2,1,6,1,1,2,1,2,3,0,0,1
8,27,3.84,1,2,4,0,6,0,4,1,2,2,8,2,0,1
3,25,3.2,8,2,1,0,6,1,0,9,4,0,2,3,2,1
3,58,3.66,5,1,1,1,1,0,2,8,0,1,0,3,4,1
2,17,2.51,2,0,2,0,1,1,1,4,1,3,3,0,0,1
8,1,3.53,9,1,2,1,2,1,0,1,0,1,9,4,3,0
10,81,2.18,3,1,2,1,6,0,4,10,0,0,4,2,4,1
3,25,3.99,3,1,2,1,5,1,3,9,0,0,4,4,3,0
0,50,2.32,7,2,0,1,1,1,3,1,2,1,0,2,0,1
1,10,2.66,1,0,3,0,5,1,4,2,3,2,0,1,4,1
0,8,2.98,4,1,3,1,2,0,0,1,1,3,2,2,2,1
3,37,2.92,3,0,4,0,1,1,0,10,4,2,1,3,3,0
2,14,3.74,1,0,4,0,4,0,4,1,3,4,1,2,3,0
8,38,2.83,2,2,4,1,5,0,1,3,3,2,9,1,3,0
10,81,3.08,4,1,3,0,9,1,1,9,3,1,2,2,4,0
6,86,2.95,7,2,2,1,9,1,0,3,2,3,1,4,2,1
7,2,2.32,4,1,3,0,9,0,0,4,10,0,7,2,4,0
12,24,2.86,7,1,0,0,6,1,4,4,4,0,2,1,4,0
1,10,2.24,2,2,4,0,2,0,1,1,2,1,2,0,4,0
11,33,3.705518506659116,0,1,3,0,7,1,0,0,3,3,4,1,4,1
3,46,2.49,6,0,1,1,7,1,4,7,1,4,1,4,0,0
0,8,3.29,7,1,3,1,9,0,2,0,0,1,0,2,2,0
14,76,3.97,0,1,2,0,9,0,4,4,1,4,1,1,1,0
4,6,3.84,2,0,2,1,6,0,1,0,1,4,1,2,1,0
8,38,2.16,5,0,3,1,8,1,2,3,1,3,8,3,2,1
10,4,2.51,9,1,2,1,5,0,3,10,3,2,0,4,4,0
14,65,3.98,1,0,3,0,5,1,3,1,1,0,0,2,0,1
11,71,3.540426663166357,9,0,3,1,7,1,0,0,1,1,1,1,2,0
11,68,3.6210799691387128,9,0,0,1,6,1,1,3,0,3,1,0,0,1
11,73,3.683891566359627,7,1,0,1,3,0,0,1,3,4,1,0,3,1
8,3,2.66,5,0,0,1,3,0,2,0,4,1,8,2,3,1
6,35,3.55,5,1,2,0,9,1,3,1,0,3,3,3,0,1
8,27,3.59,5,0,2,0,5,1,4,1,0,0,10,4,3,1
4,20,2.48,9,0,1,1,4,1,2,0,1,1,3,0,4,0
7,21,2.52,0,1,1,1,3,0,4,4,9,1,10,1,4,0
14,65,3.96,3,1,3,1,1,1,1,0,0,1,2,4,3,0
9,55,2.35,8,2,4,1,4,0,0,9,3,3,2,0,3,0
5,88,2.85,5,1,1,1,4,0,10,4,3,3,4,4,3,1
14,22,3.87,6,2,1,1,0,0,4,4,3,1,0,0,2,1
4,6,3.83,0,2,4,0,1,1,4,2,4,0,1,0,4,1
12,64,3.88,7,2,1,0,5,1,4,2,2,3,0,0,0,1
3,46,2.19,2,2,0,0,3,0,1,9,3,4,1,3,1,1
9,70,2.29,9,1,1,1,8,1,3,10,0,4,1,2,2,1
8,27,2.27,2,0,0,0,0,1,1,2,4,0,10,1,0,0
11,85,3.845468869051233,9,1,1,0,5,1,1,1,3,3,0,1,0,0
1,45,3.46,7,1,3,0,5,1,4,4,4,4,4,4,3,1
5,30,3.42,4,2,2,1,8,0,10,1,4,3,4,0,3,1
10,60,3.14,0,2,3,1,7,1,4,7,2,2,3,1,3,0
10,81,3.82,4,0,2,0,5,0,2,9,1,1,4,0,3,1
12,64,2.18,7,1,0,0,3,1,4,2,3,1,4,4,3,0
4,49,3.38,9,2,3,0,6,0,2,1,3,0,3,4,2,0
7,41,3.46,5,0,2,0,1,1,1,0,10,2,8,3,2,1
2,15,2.28,5,2,2,0,0,0,2,3,0,0,1,4,0,0
6,84,3.89,3,0,1,0,5,0,2,4,4,2,0,3,0,0
8,3,3.39,8,1,2,0,0,0,2,2,2,3,7,3,2,1
5,29,2.06,1,0,3,1,1,0,7,0,3,0,2,2,2,0
11,73,3.948607878976664,3,1,4,1,5,1,4,2,0,2,3,2,4,1
14,11,2.14,3,2,0,1,4,0,0,0,0,1,0,3,2,0
0,50,3.93,6,0,3,1,2,1,2,1,3,3,0,1,2,0
2,89,2.32,0,0,2,0,9,1,0,0,4,3,3,4,0,0
2,15,2.69,7,2,3,0,6,0,1,0,3,4,3,4,0,0
0,8,3.37,8,0,0,0,6,0,0,2,1,4,4,3,0,1
4,6,2.17,7,1,0,0,9,1,1,4,2,2,4,1,1,0
14,80,3.85,6,0,2,1,0,1,0,4,2,3,2,3,3,0
11,68,3.928162145939046,2,1,2,1,8,0,3,2,0,0,0,0,3,0
9,57,2.77,5,1,3,0,2,1,2,10,2,4,2,4,0,0
2,15,2.07,6,0,0,1,9,1,0,1,3,3,2,3,0,0
2,14,2.81,3,1,2,1,8,0,4,3,3,3,1,3,4,1
1,12,3.58,5,1,3,1,3,1,2,3,2,0,0,3,2,0
5,88,2.6,8,0,1,0,7,0,8,4,0,4,3,0,0,0
13,77,3.89,1,1,3,0,4,0,1,3,1,3,3,3,3,0
11,71,3.790343310718227,8,2,2,0,0,0,0,1,2,1,4,1,4,0
12,24,3.39,7,0,3,0,4,1,4,3,0,0,0,3,3,0
2,15,2.06,4,2,3,0,5,0,2,3,3,3,4,2,3,0
10,4,3.73,4,2,2,0,8,0,3,8,3,3,1,3,1,1
4,69,3.37,8,2,4,1,0,0,3,1,3,3,2,4,0,1
4,69,3.93,5,1,3,0,7,0,0,4,3,3,4,4,4,1
13,13,3.98,4,2,4,1,4,0,0,3,3,0,4,3,3,0
7,36,4.0,7,1,4,1,7,1,1,2,7,1,10,4,4,1
2,15,3.46,1,2,1,0,9,0,0,0,0,3,0,0,4,1
14,22,3.16,9,0,4,1,9,1,0,0,0,3,4,3,2,0
4,20,3.05,4,1,3,1,1,1,3,0,1,3,1,3,4,0
8,3,2.61,8,0,2,0,1,1,2,2,4,0,7,2,2,0
11,73,3.662699849079634,5,0,3,1,6,1,4,3,4,0,1,1,3,0
11,71,3.68323439229143,0,0,4,1,7,0,3,0,2,1,2,0,2,0
1,12,2.53,8,1,3,1,7,1,2,1,3,3,2,0,0,0
13,77,3.91,1,2,4,0,9,0,0,2,1,0,3,3,2,1
1,10,2.93,4,1,5,1,9,0,1,1,1,4,3,0,4,0
9,52,2.81,4,2,4,0,4,1,3,8,1,3,3,1,4,0
14,42,3.25,5,1,4,0,8,1,3,1,2,4,4,0,1,1
10,61,2.21,0,2,4,0,5,0,0,8,0,0,3,1,1,1
1,7,2.78,4,0,5,0,6,1,3,4,4,4,4,2,0,0
14,65,2.31,7,2,3,0,9,1,1,2,4,3,4,2,4,1
13,77,3.79,5,2,4,0,4,1,0,2,3,3,1,3,1,0
9,52,3.73,2,0,2,0,8,1,4,9,4,0,3,4,0,0
8,39,2.31,1,2,0,1,5,0,4,4,3,2,7,4,4,0
0,8,3.34,4,1,2,1,1,1,1,3,2,3,2,4,3,1
11,71,3.83446202983155,3,0,1,1,8,1,0,1,1,2,3,0,2,1
6,86,3.0,8,0,1,0,6,1,2,0,3,2,4,0,4,0
6,28,3.76,8,0,3,1,3,1,0,4,1,4,0,0,4,1
7,19,2.87,3,1,1,0,3,0,4,1,10,2,7,4,3,1
9,52,2.5,3,2,1,1,0,1,4,10,4,2,4,3,0,0
5,30,3.36,7,1,3,0,7,1,10,3,1,1,2,3,0,0
2,15,3.24,6,2,2,1,6,1,3,4,0,1,0,4,0,1
14,76,3.53,9,2,4,0,7,0,4,2,4,3,3,3,3,1
11,71,3.970229292176457,5,2,2,0,8,1,3,4,0,0,4,3,1,0
1,7,2.28,8,0,4,0,8,1,2,3,0,1,4,3,2,1
12,83,3.46,10,2,1,1,5,0,0,2,4,2,4,1,2,1
2,44,3.4,3,0,0,1,9,0,0,3,0,3,3,2,0,1
3,25,3.09,4,2,3,0,8,0,2,7,4,2,2,1,1,1
11,31,3.964159281293863,8,0,3,0,0,1,4,2,4,4,1,1,2,0
2,15,3.99,5,1,2,1,7,1,1,2,4,4,0,4,0,0
9,57,3.57,8,2,2,0,2,1,3,7,2,0,1,3,1,0
2,89,3.55,5,2,0,1,5,1,3,2,0,2,3,0,4,0
12,23,3.7,8,1,1,0,8,0,4,1,3,4,0,1,4,1
8,1,3.21,3,0,0,1,7,1,2,1,3,0,10,0,2,0
5,43,3.7,8,2,2,1,1,0,7,2,2,2,1,1,2,0
2,89,3.29,5,2,2,0,4,1,4,1,3,4,2,4,3,0
11,85,3.658461002578139,0,0,1,1,1,1,2,1,2,0,0,4,4,0
4,69,2.92,3,2,0,1,2,0,1,3,0,3,0,4,3,0
12,24,2.24,6,2,1,0,2,1,0,3,1,2,1,2,3,0
3,46,3.07,6,1,4,0,0,0,1,8,4,3,4,1,2,0
10,81,3.77,6,2,0,1,0,0,2,9,1,3,4,4,2,0
0,87,3.92,4,1,2,0,1,1,3,4,2,2,2,3,1,1
8,78,3.33,3,0,3,1,8,1,4,0,2,3,9,4,1,0
11,73,3.679323390648082,1,0,4,1,0,0,2,1,2,4,4,3,2,1
6,35,3.73,6,2,1,1,1,1,3,1,0,0,3,1,3,0
9,56,2.45,3,1,3,1,9,1,2,8,3,3,2,4,4,1
6,75,2.25,3,0,4,1,6,1,0,4,3,4,1,3,2,0
8,1,3.34,4,1,0,0,2,1,1,4,4,2,10,4,4,0
2,15,2.46,9,0,2,1,8,0,2,0,0,3,0,4,0,0
10,60,3.59,1,0,4,1,0,1,4,9,4,1,1,2,2,0
6,28,2.89,6,1,4,1,4,1,4,4,4,4,0,4,0,0
14,42,3.14,2,1,4,0,2,1,0,2,2,4,3,1,4,1
3,37,2.32,5,0,3,1,7,1,2,9,3,2,3,2,0,1
1,45,3.33,1,0,3,0,3,0,0,2,1,0,2,1,0,1
12,83,3.96,8,2,0,0,9,1,1,4,3,0,2,2,1,0
1,45,3.61,3,1,5,1,8,0,0,1,1,4,2,1,3,0
14,79,2.33,7,1,4,0,4,0,4,2,3,0,3,4,2,1
11,71,3.899147589483388,8,1,2,1,6,0,2,3,4,1,3,2,1,0
13,74,3.72,1,1,1,0,9,1,3,0,0,1,0,4,0,0
1,47,3.66,4,2,5,0,9,1,1,1,4,3,1,1,1,0
7,16,3.48,6,2,2,1,4,0,1,4,10,3,9,1,1,0
14,26,3.41,0,0,0,0,7,1,1,0,3,2,3,0,4,1
8,39,3.48,7,2,0,0,9,1,4,2,0,4,10,3,3,1
9,57,2.04,0,2,3,0,4,0,3,9,1,2,2,1,2,0
9,54,3.73,8,1,0,0,8,0,4,8,4,1,4,1,3,1
4,72,2.47,2,1,3,0,2,0,4,2,4,2,0,3,4,1
11,73,3.795416630284506,8,2,4,0,1,0,0,4,4,3,4,2,2,0
5,0,2.49,4,1,2,0,3,1,7,0,0,3,3,2,4,0
4,49,2.51,1,2,2,1,7,1,1,1,3,3,0,2,4,0
4,69,2.38,8,2,1,1,0,0,4,2,4,1,4,0,0,1
4,6,3.76,0,2,1,0,2,1,3,0,1,2,3,4,4,1
1,47,2.36,9,2,3,1,0,0,1,0,3,3,3,0,2,0
14,76,3.52,5,0,4,0,9,0,4,2,0,1,3,3,0,1
13,77,3.96,6,1,1,1,3,0,2,4,2,0,2,3,3,0
2,17,2.54,6,2,4,1,1,1,0,4,3,4,1,4,2,0
1,47,2.74,7,0,3,0,1,1,3,1,2,3,2,3,3,0
3,46,2.25,2,0,0,1,6,0,2,10,3,1,4,4,4,0
14,65,3.36,8,0,4,0,3,0,0,2,1,2,3,0,1,0
6,28,2.43,5,1,1,1,6,1,0,1,1,4,4,2,4,1
10,59,2.52,1,1,3,0,9,1,3,8,1,0,0,4,0,0
4,6,3.68,6,1,4,1,2,1,4,3,4,4,3,4,2,1
1,47,2.48,6,2,3,0,1,0,2,0,1,3,0,4,2,1
3,37,2.79,6,1,2,1,1,0,2,10,4,0,2,2,3,1
10,81,2.68,4,0,0,1,7,1,3,8,0,4,3,0,0,1
6,35,3.71,9,2,1,1,7,1,4,4,3,0,2,3,0,1
11,85,3.6994104507223975,6,1,0,0,4,1,2,3,1,0,2,2,4,1
7,36,3.31,6,0,2,0,0,1,2,0,8,4,10,1,2,1
2,89,2.47,4,0,3,0,6,0,1,1,2,3,4,1,3,1
13,13,3.69,0,0,3,0,0,1,4,3,4,0,2,3,2,1
11,31,3.592166837165685,1,0,3,0,7,0,4,3,0,1,4,0,4,0
9,57,2.96,5,0,1,0,5,1,2,9,2,3,4,3,0,0
2,89,3.31,8,2,2,1,3,1,0,0,3,2,1,4,1,1
7,21,2.54,4,0,0,0,1,1,3,0,7,3,10,3,1,1
2,15,3.62,6,1,2,0,3,0,3,4,0,2,1,3,2,0
5,29,2.27,2,1,1,1,6,1,8,2,1,2,0,4,0,1
7,21,2.77,4,1,2,1,2,1,4,2,8,1,9,1,0,1
4,20,3.66,4,2,4,1,6,1,1,0,3,3,4,3,3,1
12,83,2.1,9,1,0,1,8,1,0,2,2,3,0,0,0,1
2,15,3.12,8,0,0,0,2,1,2,3,2,1,3,4,1,1
4,72,3.56,8,0,2,0,2,0,0,3,2,1,2,4,0,1
8,27,3.33,7,0,3,1,1,0,1,3,0,3,10,4,4,0
5,43,2.97,4,0,1,0,8,1,8,2,1,3,4,1,4,0
11,31,3.709800031213895,1,0,1,0,3,1,2,2,1,2,0,0,4,0
8,3,2.3,1,1,3,1,9,0,4,4,1,1,8,0,0,1
5,30,2.3,5,0,3,1,3,1,7,2,4,0,0,1,2,1
4,20,2.9,4,2,4,0,7,1,1,2,3,3,3,1,4,0
9,55,3.07,5,1,1,1,5,1,3,8,3,3,2,2,2,0
14,11,3.83,7,2,0,1,6,0,0,0,0,0,0,2,1,1
0,8,2.78,5,2,3,1,2,0,4,4,3,4,1,2,3,0
13,13,2.84,4,0,0,0,4,1,1,0,0,3,4,1,3,0
10,61,2.56,4,2,1,1,0,1,0,8,0,0,0,0,4,0
2,14,2.72,2,0,1,1,6,1,1,0,3,4,0,4,4,1
12,83,3.35,8,1,3,0,8,0,3,4,4,4,1,2,4,0
14,11,2.74,7,1,0,0,0,0,2,2,1,4,2,2,1,1
2,89,3.22,0,1,0,1,4,1,2,1,4,0,1,1,4,1
5,88,3.3,1,0,4,0,8,0,7,1,0,1,1,1,2,1
3,37,2.23,8,2,2,1,0,1,4,8,3,4,4,3,2,0
2,17,3.39,2,1,1,0,6,1,3,2,3,3,4,3,1,1
9,56,2.53,8,2,3,0,4,0,3,8,2,4,4,0,1,0
0,9,2.39,6,2,1,0,8,1,1,3,4,0,4,2,0,0
1,47,3.97,7,1,4,0,0,1,3,0,3,1,0,2,3,0
2,14,2.59,4,2,1,1,1,0,3,4,3,0,4,2,0,0
8,27,2.44,7,2,1,0,8,1,2,3,0,3,8,4,0,0
8,39,2.12,0,1,4,1,8,0,4,2,4,1,9,2,3,1
9,56,2.85,9,2,2,1,8,1,4,10,0,0,4,2,2,1
0,8,2.53,3,0,2,1,1,1,4,2,3,2,2,3,0,1
11,31,3.841981884699071,1,2,2,1,6,0,2,1,3,3,4,3,3,1
10,32,3.59,2,0,1,0,3,1,0,8,0,2,3,2,4,0
4,20,2.67,0,1,1,1,4,0,1,3,4,3,3,4,0,0
10,59,3.27,7,2,3,1,6,0,0,10,1,2,4,4,2,0
6,35,2.93,4,2,2,0,8,0,4,1,3,1,2,4,4,1
11,71,3.78773708893794,2,0,1,1,2,0,2,2,1,0,0,2,0,1
1,45,3.03,2,1,5,0,7,0,4,4,1,4,0,0,2,0
1,47,3.07,2,0,3,0,9,0,2,2,4,0,3,4,1,1
8,1,3.02,9,2,3,1,7,1,0,4,4,1,7,3,3,0
10,18,3.56,2,0,0,0,7,0,4,9,3,3,2,0,1,0
6,28,3.92,9,1,1,1,1,1,0,0,2,2,1,1,2,1
2,14,2.23,2,1,1,1,8,1,3,0,2,2,2,1,0,0
5,30,3.94,7,1,0,1,1,1,7,3,2,3,4,0,4,0
7,21,3.88,5,0,1,0,1,0,3,4,8,2,10,1,1,1
8,51,3.36,6,1,4,1,3,0,1,0,1,1,10,3,3,1
14,26,2.73,2,2,1,0,6,0,2,4,3,4,3,4,3,0
11,31,3.547221480377964,4,1,2,0,4,1,1,3,3,4,1,4,1,1
8,51,3.69,3,2,3,0,0,0,4,2,1,2,9,1,0,0
1,10,3.47,9,2,4,1,8,0,3,3,2,4,0,2,2,1
5,43,2.38,3,2,1,0,6,1,8,0,0,0,1,3,1,0
12,64,3.7,6,1,4,0,5,0,4,2,2,4,0,4,0,0
6,75,2.66,2,2,2,0,1,1,1,3,1,1,1,3,4,1
5,30,3.28,2,2,3,1,6,0,7,4,4,3,4,2,1,1
0,53,2.33,1,1,1,1,7,1,0,4,4,0,2,1,2,0
3,37,2.25,7,0,3,1,7,0,1,7,1,1,2,0,1,0
7,62,3.15,6,0,4,0,6,1,3,3,9,0,7,3,2,1
9,55,2.73,0,1,2,1,0,1,0,10,2,3,0,4,4,1
0,53,2.61,8,0,3,0,1,0,1,2,4,2,4,3,4,1
2,15,3.79,3,1,2,1,9,0,1,1,4,3,3,3,1,1
3,58,2.78,1,0,1,0,8,0,4,7,0,0,2,4,3,0
5,82,3.51,9,1,1,0,3,0,10,3,2,1,1,0,4,1
14,11,2.7,5,1,0,0,4,1,3,1,4,1,0,0,1,1
13,74,3.77,1,0,0,1,5,1,3,4,3,0,4,0,1,0
2,44,2.43,7,2,1,0,7,1,0,0,1,3,1,3,4,1
11,85,3.86582387764982,4,0,1,1,9,0,4,0,4,0,4,4,2,1
10,59,3.11,9,0,2,1,3,1,1,8,3,1,2,4,0,1
0,8,2.83,1,0,0,0,3,0,1,3,4,2,2,1,4,0
14,42,3.52,5,0,2,0,3,0,4,1,3,2,3,3,1,0
6,28,3.11,9,1,3,1,4,1,3,0,1,2,4,1,3,0
0,53,2.95,1,0,3,1,5,0,0,0,2,3,4,1,1,1
5,82,2.81,9,1,1,1,0,0,9,3,2,2,1,3,3,1
13,74,3.46,1,1,4,0,8,1,4,0,3,1,4,0,4,0
12,24,3.7,7,0,4,0,2,0,3,0,1,2,0,0,0,1
11,85,3.688864443088147,1,2,2,1,5,1,0,1,4,3,3,3,2,1
11,85,3.752626186223929,5,1,1,1,2,0,2,4,1,4,0,3,2,0
11,85,3.660024800515306,4,1,0,0,3,1,1,2,1,2,3,4,3,1
13,67,2.2,3,1,0,0,7,0,3,4,3,0,1,2,2,0
3,46,2.6,9,1,1,0,7,0,1,7,3,0,1,3,3,1
1,47,3.06,0,1,3,1,5,0,4,3,3,3,4,3,2,1
6,86,3.13,7,2,1,0,8,1,3,4,4,3,4,2,2,1
0,50,2.74,3,1,1,1,4,1,3,4,2,1,3,1,1,1
9,70,2.6,1,1,1,1,3,0,1,7,1,0,1,3,1,1
1,47,2.63,2,1,4,0,8,1,3,4,1,1,1,0,3,0
4,49,2.8,6,1,4,0,3,1,2,2,4,3,2,1,3,0
14,80,2.95,5,0,2,0,0,0,0,3,2,1,3,2,4,1
